"","genes","hgnc_symbol","ensembl_gene_id","entrezgene_id","gene_biotype"
"120","Il6",NA,"ENSMUSG00000025746",16193,"protein_coding"
"121","Ino80d",NA,"ENSMUSG00000040865",227195,"protein_coding"
"122","Inpp5f",NA,"ENSMUSG00000042105",101490,"protein_coding"
"123","Itgb1",NA,"ENSMUSG00000025809",16412,"protein_coding"
"124","Jmjd1c",NA,"ENSMUSG00000037876",108829,"protein_coding"
"125","Jph3",NA,"ENSMUSG00000025318",57340,"protein_coding"
"126","Kat6a",NA,"ENSMUSG00000031540",244349,"protein_coding"
"127","Kbtbd2",NA,"ENSMUSG00000059486",210973,"protein_coding"
"128","Kcnj10",NA,"ENSMUSG00000044708",16513,"protein_coding"
"129","Kcnj3",NA,"ENSMUSG00000026824",16519,"protein_coding"
"130","Kidins220",NA,"ENSMUSG00000036333",77480,"protein_coding"
"131","Kif1b",NA,"ENSMUSG00000063077",16561,"protein_coding"
"132","Klf12",NA,"ENSMUSG00000072294",16597,"protein_coding"
"133","Klhl5",NA,"ENSMUSG00000054920",71778,"protein_coding"
"134","Kmt2a",NA,"ENSMUSG00000002028",214162,"protein_coding"
"135","Kpna1",NA,"ENSMUSG00000022905",16646,"protein_coding"
"136","Kras",NA,"ENSMUSG00000030265",16653,"protein_coding"
"137","KRT3",NA,NA,NA,NA
"138","Ksr2",NA,"ENSMUSG00000061578",333050,"protein_coding"
"139","Ktn1",NA,"ENSMUSG00000021843",16709,"protein_coding"
"140","L3mbtl2",NA,"ENSMUSG00000022394",214669,"protein_coding"
"141","Ldlr",NA,"ENSMUSG00000032193",16835,"protein_coding"
"142","Lgi2",NA,"ENSMUSG00000039252",246316,"protein_coding"
"143","Lif",NA,"ENSMUSG00000034394",16878,"protein_coding"
"144","Lonrf2",NA,"ENSMUSG00000048814",381338,"protein_coding"
"145","Lonrf3",NA,"ENSMUSG00000016239",74365,"protein_coding"
"146","Lrrc55",NA,"ENSMUSG00000075224",NA,"protein_coding"
"147","Lsamp",NA,"ENSMUSG00000061080",268890,"protein_coding"
"148","Luzp1",NA,"ENSMUSG00000001089",269593,"protein_coding"
"149","Luzp2",NA,"ENSMUSG00000063297",233271,"protein_coding"
"150","Macf1",NA,"ENSMUSG00000028649",11426,"protein_coding"
"151","Map1b",NA,"ENSMUSG00000052727",17755,"protein_coding"
"152","Mapk10",NA,"ENSMUSG00000046709",26414,"protein_coding"
"153","March8",NA,NA,NA,NA
"154","Mb21d2",NA,"ENSMUSG00000051065",239796,"protein_coding"
"155","Mbnl1",NA,"ENSMUSG00000027763",56758,"protein_coding"
"156","Mdga2",NA,"ENSMUSG00000034912",320772,"protein_coding"
"157","Mecp2",NA,"ENSMUSG00000031393",17257,"protein_coding"
"158","Mef2c",NA,"ENSMUSG00000005583",17260,"protein_coding"
"159","Mfhas1",NA,"ENSMUSG00000070056",52065,"protein_coding"
"160","Mga",NA,"ENSMUSG00000033943",29808,"protein_coding"
"161","Mical3",NA,"ENSMUSG00000051586",194401,"protein_coding"
"162","Mlc1",NA,"ENSMUSG00000035805",170790,"protein_coding"
"163","Mllt6",NA,"ENSMUSG00000038437",246198,"protein_coding"
"164","Mob1a",NA,"ENSMUSG00000043131",232157,"protein_coding"
"165","Mt2",NA,"ENSMUSG00000031762",17750,"protein_coding"
"166","Mtmr4",NA,"ENSMUSG00000018401",170749,"protein_coding"
"167","Mvb12b",NA,"ENSMUSG00000038740",72543,"protein_coding"
"168","Mvp",NA,"ENSMUSG00000030681",78388,"protein_coding"
"169","Myh10",NA,"ENSMUSG00000020900",77579,"protein_coding"
"170","Myo1c",NA,"ENSMUSG00000017774",17913,"protein_coding"
"171","Napb",NA,"ENSMUSG00000027438",17957,"protein_coding"
"172","Nceh1",NA,"ENSMUSG00000027698",320024,"protein_coding"
"173","Ndnf",NA,"ENSMUSG00000049001",68169,"protein_coding"
"174","Nefh",NA,"ENSMUSG00000020396",380684,"protein_coding"
"175","Nf1",NA,"ENSMUSG00000020716",18015,"protein_coding"
"176","Nfib",NA,"ENSMUSG00000008575",18028,"protein_coding"
"177","Nrep",NA,"ENSMUSG00000042834",27528,"protein_coding"
"178","Ntrk2",NA,"ENSMUSG00000055254",18212,"protein_coding"
"179","Nxt2",NA,"ENSMUSG00000042271",237082,"protein_coding"
"180","Pacs2",NA,"ENSMUSG00000021143",217893,"protein_coding"
"181","Paqr4",NA,"ENSMUSG00000023909",76498,"protein_coding"
"182","Pard6g",NA,"ENSMUSG00000056214",93737,"protein_coding"
"183","Pcdh15",NA,"ENSMUSG00000052613",11994,"protein_coding"
"184","Pcdh17",NA,"ENSMUSG00000035566",219228,"protein_coding"
"185","Pcdhac1",NA,"ENSMUSG00000103255",353236,"protein_coding"
"186","Pdgfra",NA,"ENSMUSG00000029231",18595,"protein_coding"
"187","Pdia6",NA,"ENSMUSG00000020571",71853,"protein_coding"
"188","Pdpk1",NA,"ENSMUSG00000024122",18607,"protein_coding"
"189","Pdrg1",NA,"ENSMUSG00000027472",68559,"protein_coding"
"190","Pds5b",NA,"ENSMUSG00000034021",100710,"protein_coding"
"191","Pea15a",NA,"ENSMUSG00000013698",18611,"protein_coding"
"192","Peg3",NA,"ENSMUSG00000002265",18616,"protein_coding"
"193","Pgr",NA,"ENSMUSG00000031870",18667,"protein_coding"
"194","Pgrmc1",NA,"ENSMUSG00000006373",53328,"protein_coding"
"195","Phf20l1",NA,"ENSMUSG00000072501",239510,"protein_coding"
"196","Phf21a",NA,"ENSMUSG00000058318",192285,"protein_coding"
"197","Phka1",NA,"ENSMUSG00000034055",18679,"protein_coding"
"198","Pik3r3",NA,"ENSMUSG00000028698",18710,"protein_coding"
"199","Pitpnm3",NA,"ENSMUSG00000040543",327958,"protein_coding"
"200","Pkia",NA,"ENSMUSG00000027499",18767,"protein_coding"
"201","Plod1",NA,"ENSMUSG00000019055",18822,"protein_coding"
"202","Plxna2",NA,"ENSMUSG00000026640",18845,"protein_coding"
"203","Pnma2",NA,"ENSMUSG00000046204",239157,"protein_coding"
"204","Podn",NA,"ENSMUSG00000028600",242608,"protein_coding"
"205","Polr3g",NA,"ENSMUSG00000035834",67486,"protein_coding"
"206","Ppp4r2",NA,"ENSMUSG00000052144",232314,"protein_coding"
"207","Prdx6",NA,"ENSMUSG00000026701",11758,"protein_coding"
"208","Prkar2b",NA,"ENSMUSG00000002997",19088,"protein_coding"
"209","Prkcb",NA,"ENSMUSG00000052889",18751,"protein_coding"
"210","Prnp",NA,"ENSMUSG00000079037",19122,"protein_coding"
"211","Prpf8",NA,"ENSMUSG00000020850",192159,"protein_coding"
"212","Prrt3",NA,"ENSMUSG00000045009",210673,"protein_coding"
"213","Psd3",NA,"ENSMUSG00000030465",234353,"protein_coding"
"214","Ptbp2",NA,"ENSMUSG00000028134",56195,"protein_coding"
"215","Ptpn9",NA,"ENSMUSG00000032290",56294,"protein_coding"
"216","Ptpru",NA,"ENSMUSG00000028909",19273,"protein_coding"
"217","Pvt1",NA,"ENSMUSG00000097039",NA,"lncRNA"
"218","Rap2a",NA,"ENSMUSG00000051615",76108,"protein_coding"
"219","Rasa1",NA,"ENSMUSG00000021549",218397,"protein_coding"
"220","Rbm33",NA,"ENSMUSG00000048271",381626,"protein_coding"
"221","Rbm45",NA,"ENSMUSG00000042369",241490,"protein_coding"
"222","Rest",NA,"ENSMUSG00000029249",19712,"protein_coding"
"223","Rgs2",NA,"ENSMUSG00000026360",19735,"protein_coding"
"224","Rhbdl1",NA,"ENSMUSG00000025735",214951,"protein_coding"
"225","Rnf11",NA,"ENSMUSG00000028557",29864,"protein_coding"
"226","Rnf14",NA,"ENSMUSG00000060450",56736,"protein_coding"
"227","Rnf220",NA,"ENSMUSG00000028677",66743,"protein_coding"
"228","Robo2",NA,"ENSMUSG00000052516",268902,"protein_coding"
"229","Rragc",NA,"ENSMUSG00000028646",54170,"protein_coding"
"230","Rsrc2",NA,"ENSMUSG00000029422",208606,"protein_coding"
"231","Rtn3",NA,"ENSMUSG00000024758",20168,"protein_coding"
"232","Scd1",NA,"ENSMUSG00000037071",20249,"protein_coding"
"233","Scn8a",NA,"ENSMUSG00000023033",20273,"protein_coding"
"234","Sdc2",NA,"ENSMUSG00000022261",15529,"protein_coding"
"235","Sdpr",NA,NA,NA,NA
"236","Sec62",NA,"ENSMUSG00000027706",69276,"protein_coding"
"237","Sept8",NA,NA,NA,NA
"238","Serf1",NA,"ENSMUSG00000021643",20365,"protein_coding"
"239","Sestd1",NA,"ENSMUSG00000042272",228071,"protein_coding"
"240","Sgsm1",NA,"ENSMUSG00000042216",52850,"protein_coding"
"241","Shroom2",NA,"ENSMUSG00000045180",110380,"protein_coding"
"242","Slc25a46",NA,"ENSMUSG00000024259",67453,"protein_coding"
"243","Slc33a1",NA,"ENSMUSG00000027822",11416,"protein_coding"
"244","Slc37a3",NA,"ENSMUSG00000029924",72144,"protein_coding"
"245","Slc5a6",NA,"ENSMUSG00000006641",330064,"protein_coding"
"246","Smad5",NA,"ENSMUSG00000021540",17129,"protein_coding"
"247","Smarcd2",NA,"ENSMUSG00000078619",83796,"protein_coding"
"248","Socs5",NA,"ENSMUSG00000037104",56468,"protein_coding"
"249","Sox6",NA,"ENSMUSG00000051910",20679,"protein_coding"
